user_id,type,title,message,link,icon,is_read,id,created_at,updated_at
2986207f-4e45-4249-91c3-e5e13bae6622,verification_started,Verification Started,Started whatsapp verification for 9082407341 ($2.50),,,t,0456fa18-1370-4ac3-8e58-a526e55e6720,2026-04-17 14:14:06.027992,2026-04-17 15:20:06.334209
2986207f-4e45-4249-91c3-e5e13bae6622,balance_update,Balance Updated,$2.50 charged for whatsapp - New balance: $5.40,,,t,99902023-f5a1-4ea5-9898-ddb1781f25d4,2026-04-17 14:14:06.083794,2026-04-17 15:20:06.334209
2986207f-4e45-4249-91c3-e5e13bae6622,verification_progress,⏳ Still Waiting,Waiting for SMS code for whatsapp...,,,t,093f3b04-400f-48c2-833a-fc81b8a147e6,2026-04-17 14:14:26.545746,2026-04-17 15:20:06.334209
2986207f-4e45-4249-91c3-e5e13bae6622,verification_started,Verification Started,Started whatsapp verification for 4052744128 ($2.50),,,t,6943032d-bcea-48f1-85e7-af4e5304d4ee,2026-04-17 15:17:51.783566,2026-04-17 15:20:06.334209
2986207f-4e45-4249-91c3-e5e13bae6622,balance_update,Balance Updated,$2.50 charged for whatsapp - New balance: $5.40,,,t,075b368b-b8e1-4042-bdda-8d7f152ca5a5,2026-04-17 15:17:51.797989,2026-04-17 15:20:06.334209
2986207f-4e45-4249-91c3-e5e13bae6622,verification_progress,⏳ Still Waiting,Waiting for SMS code for whatsapp...,,,t,8c186205-67bd-422c-9fc6-2ddaccb4f0a8,2026-04-17 15:18:12.28423,2026-04-17 15:20:06.334209
2986207f-4e45-4249-91c3-e5e13bae6622,verification_started,Verification Started,Started whatsapp verification for 9083278521 ($2.50),,,t,337387ce-0453-4537-8253-89e2101b3508,2026-04-17 15:22:09.592572,2026-04-17 15:24:26.762773
2986207f-4e45-4249-91c3-e5e13bae6622,low_balance,Low Balance Warning,Your balance is $3.90. Add credits to continue.,,,t,50208c75-b63b-4b34-a5d5-d18def586b50,2026-04-17 15:22:09.609278,2026-04-17 15:24:26.762773
2986207f-4e45-4249-91c3-e5e13bae6622,balance_update,Balance Updated,$2.50 charged for whatsapp - New balance: $3.90,,,t,db0932e5-0a90-49af-896d-a113f0a3bc5f,2026-04-17 15:22:09.616201,2026-04-17 15:24:26.762773
2986207f-4e45-4249-91c3-e5e13bae6622,verification_progress,⏳ Still Waiting,Waiting for SMS code for whatsapp...,,,t,5866f70d-32be-43b0-b320-b660624c77f8,2026-04-17 15:22:30.009939,2026-04-17 15:24:26.762773
2986207f-4e45-4249-91c3-e5e13bae6622,verification_started,Verification Started,Started whatsapp verification for 2708941176 ($2.50),,,t,5d81ce6b-7030-4b19-988d-66bb756bc3e9,2026-04-17 15:25:27.617782,2026-04-17 15:29:42.323741
2986207f-4e45-4249-91c3-e5e13bae6622,balance_update,Balance Updated,$2.50 charged for whatsapp - New balance: $2.40,,,t,a7e0447a-7ee3-4f35-8383-7424f31e5f88,2026-04-17 15:25:27.6348,2026-04-17 15:29:42.323741
2986207f-4e45-4249-91c3-e5e13bae6622,verification_progress,⏳ Still Waiting,Waiting for SMS code for whatsapp...,,,t,36adbc04-ba19-4997-80e1-f77bc61320fa,2026-04-17 15:25:47.896223,2026-04-17 15:29:42.323741
2986207f-4e45-4249-91c3-e5e13bae6622,verification_failed,Verification Failed,009ibbq verification failed: Verification service temporarily unavailable,,,t,78516102-807b-4d33-ad9a-14a5b698b782,2026-04-17 23:50:38.052085,2026-04-17 23:50:55.140758
2986207f-4e45-4249-91c3-e5e13bae6622,verification_failed,Verification Failed,servicenotlisted verification failed: Verification service temporarily unavailable,,,t,c1d452b9-914e-462a-a241-f62f08ebdf69,2026-04-17 23:51:08.584696,2026-04-18 00:02:04.135275
2986207f-4e45-4249-91c3-e5e13bae6622,verification_failed,Verification Failed,discord verification failed: Verification service temporarily unavailable,,,t,02df379f-2fac-4e3d-beb4-da32e6dfba3a,2026-04-17 23:51:30.125891,2026-04-18 00:02:04.135275
2986207f-4e45-4249-91c3-e5e13bae6622,verification_failed,Verification Failed,ando verification failed: Verification service temporarily unavailable,,,t,faaad127-83ee-4e26-85a8-3f986a5668dd,2026-04-17 23:51:47.240805,2026-04-18 00:02:04.135275
2986207f-4e45-4249-91c3-e5e13bae6622,verification_started,Verification Started,Started 009ibbq verification for 4696156374 ($0.20),,,t,c2e5cb1e-0b35-405f-8cbe-a6d1163ae3c5,2026-04-18 00:02:32.286366,2026-04-18 00:02:53.264946
2986207f-4e45-4249-91c3-e5e13bae6622,balance_update,Balance Updated,$0.20 charged for 009ibbq - New balance: $1.90,,,t,7a91b65c-dc64-448e-9115-1ecb5ebf2a47,2026-04-18 00:02:32.302597,2026-04-18 00:02:53.264946
2986207f-4e45-4249-91c3-e5e13bae6622,verification_progress,⏳ Still Waiting,Waiting for SMS code for 009ibbq...,,,t,5f052c7b-32ca-4417-8f38-7e54e88020a2,2026-04-18 00:02:52.784728,2026-04-18 00:02:53.264946
